date,sp500,P_gold,P_platinum
2005/07/01,1234.18,424.48,896
2005/08/01,1220.33,437.93,891
2005/09/01,1228.81,456.05,929
2005/10/01,1207.01,469.9,939
2005/11/01,1249.48,476.67,980
2005/12/01,1248.29,510.1,964
2006/01/01,1280.08,549.86,1074
2006/02/01,1280.66,555,1046
2006/03/01,1294.83,557.09,1080
2006/04/01,1310.61,610.65,1149
2006/05/01,1270.09,675.39,1278
2006/06/01,1270.2,596.15,1212
2006/07/01,1276.66,633.71,1227
2006/08/01,1303.82,632.59,1227
2006/09/01,1335.85,598.19,1144
2006/10/01,1377.94,585.78,1074
2006/11/01,1400.63,627.83,1160
2006/12/01,1418.3,629.79,1117
2007/01/01,1438.24,631.17,1171
2007/02/01,1406.82,664.75,1253
2007/03/01,1420.86,654.9,1246
2007/04/01,1482.37,679.37,1281
2007/05/01,1530.62,666.86,1272
2007/06/01,1503.35,655.49,1275
2007/07/01,1455.27,665.3,1292
2007/08/01,1473.99,665.41,1269
2007/09/01,1526.75,712.65,1361
2007/10/01,1549.38,754.6,1438
2007/11/01,1481.14,806.25,1443
2007/12/01,1468.36,803.2,1529
2008/01/01,1378.55,889.6,1687
2008/02/01,1330.63,922.3,2153
2008/03/01,1322.7,968.43,2032
2008/04/01,1385.59,909.7,1923
2008/05/01,1400.38,888.66,1976
2008/06/01,1280,889.49,2077
2008/07/01,1267.38,939.77,1753
2008/08/01,1282.83,839.03,1475
2008/09/01,1166.36,829.93,1047
2008/10/01,968.75,806.62,790
2008/11/01,896.24,760.86,858
2008/12/01,903.25,816.09,899
2009/01/01,825.88,858.69,975
2009/02/01,735.09,943.16,1054
2009/03/01,797.87,924.27,1125
2009/04/01,872.81,890.2,1111
2009/05/01,919.14,928.64,1163
2009/06/01,919.32,945.67,1196
2009/07/01,987.48,934.23,1186
2009/08/01,1020.62,949.38,1234
2009/09/01,1057.08,996.59,1283
2009/10/01,1036.19,1043.16,1328
2009/11/01,1095.63,1127.04,1440
2009/12/01,1115.1,1134.72,1466
2010/01/01,1073.87,1117.96,1514
2010/02/01,1104.49,1095.41,1540
2010/03/01,1169.43,1113.34,1641
2010/04/01,1186.69,1148.69,1737
2010/05/01,1089.41,1205.43,1569
2010/06/01,1030.71,1232.92,1533
2010/07/01,1101.6,1192.97,1555
2010/08/01,1049.33,1215.81,1513
2010/09/01,1141.2,1270.98,1650
2010/10/01,1183.26,1342.02,1683
2010/11/01,1180.55,1369.89,1651
2010/12/01,1257.64,1390.55,1731
2011/01/01,1286.12,1356.4,1789
2011/02/01,1327.22,1372.73,1807
2011/03/01,1325.83,1424.01,1775
2011/04/01,1363.61,1473.81,1820
2011/05/01,1345.2,1510.44,1821
2011/06/01,1320.64,1528.66,1724
2011/07/01,1292.28,1572.81,1782
2011/08/01,1218.89,1755.81,1855.5
2011/09/01,1131.42,1771.85,1538
2011/10/01,1253.3,1665.21,1606
2011/11/01,1246.96,1738.98,1515
2011/12/01,1257.6,1652.31,1381
2012/01/01,1312.41,1656.12,1626
2012/02/01,1365.68,1742.62,1727
2012/03/01,1408.47,1673.77,1643
2012/04/01,1397.91,1650.07,1574
2012/05/01,1310.33,1585.5,1412
2012/06/01,1362.16,1596.7,1407
2012/07/01,1379.32,1593.91,1419
2012/08/01,1406.58,1626.03,1508
2012/09/01,1440.67,1744.45,1661
2012/10/01,1412.16,1747.01,1566
2012/11/01,1416.18,1721.14,1617
2012/12/01,1426.19,1688.53,1523
2013/01/01,1498.11,1670.95,1680
2013/02/01,1514.68,1627.59,1596
2013/03/01,1569.19,1592.86,1583
2013/04/01,1597.57,1485.08,1513
2013/05/01,1630.74,1413.5,1471
2013/06/01,1606.28,1342.36,1325
2013/07/01,1685.73,1286.72,1442
2013/08/01,1632.97,1347.1,1511
2013/09/01,1681.55,1348.8,1422
2013/10/01,1756.54,1316.18,1462
2013/11/01,1805.81,1275.82,1367
2013/12/01,1848.36,1225.4,1358
2014/01/01,1782.59,1244.8,1383
2014/02/01,1859.45,1300.97,1444
2014/03/01,1872.34,1336.08,1422
2014/04/01,1883.95,1299,1421
2014/05/01,1923.57,1287.53,1457
2014/06/01,1960.23,1279.1,1481
2014/07/01,1930.67,1310.97,1476
2014/08/01,2003.37,1295.99,1424
2014/09/01,1972.29,1238.82,1307
2014/10/01,2018.05,1222.49,1232
2014/11/01,2067.56,1176.3,1214
2014/12/01,2058.9,1202.29,1210
2015/01/01,1994.99,1251.85,1230
2015/02/01,2104.5,1227.19,1173
2015/03/01,2067.89,1178.63,1121
2015/04/01,2085.51,1197.91,1154
2015/05/01,2107.39,1199.05,1114
2015/06/01,2063.11,1181.5,1083
2015/07/01,2103.84,1130.04,978
2015/08/01,1972.18,1117.47,999
2015/09/01,1920.03,1124.53,924
2015/10/01,2079.36,1159.25,994
2015/11/01,2080.41,1085.7,829
2015/12/01,2043.94,1068.25,872
2016/01/01,1940.24,1097.38,864
2016/02/01,1932.23,1199.91,920
2016/03/01,2059.74,1246.34,970
2016/04/01,2065.3,1242.26,1060
2016/05/01,2096.96,1259.4,977
2016/06/01,2098.86,1276.4,1004
2016/07/01,2173.6,1337.33,1128
2016/08/01,2170.95,1341.09,1060
2016/09/01,2168.27,1326.03,1031
2016/10/01,2126.15,1266.57,979
2016/11/01,2198.81,1235.98,918
2016/12/01,2238.83,1151.4,907
2017/01/01,2278.87,1192.62,987
2017/02/01,2363.64,1234.36,1026
2017/03/01,2362.72,1231.09,945
2017/04/01,2384.2,1265.63,946
2017/05/01,2411.8,1245,941
2017/06/01,2423.41,1260.26,921
2017/07/01,2470.3,1236.22,935
2017/08/01,2471.65,1282.32,990
2017/09/01,2519.36,1314.98,923
2017/10/01,2575.26,1279.51,918
2017/11/01,2647.58,1282.28,941
2017/12/01,2673.61,1261.26,927
2018/01/01,2823.81,1331.67,1004
2018/02/01,2713.83,1331.53,981
2018/03/01,2640.87,1324.66,936
2018/04/01,2648.05,1334.74,907
2018/05/01,2705.27,1303.03,912
2018/06/01,2718.37,1281.57,846
2018/07/01,2816.29,1238.52,826
2018/08/01,2901.52,1201.25,798
2018/09/01,2913.98,1198.47,811
2018/10/01,2711.74,1215.39,831
2018/11/01,2760.17,1220.95,810
2018/12/01,2506.85,1247.92,794
2019/01/01,2704.1,1291.75,818
2019/02/01,2784.49,1320.07,874
2019/03/01,2834.4,1300.9,847
2019/04/01,2945.83,1286.45,898
2019/05/01,2752.06,1283.95,793
2019/06/01,2941.76,1359.04,816
2019/07/01,2980.38,1412.98,874
2019/08/01,2926.46,1498.8,935
2019/09/01,2976.74,1511.31,925
2019/10/01,3037.56,1494.8,926
2019/11/01,3140.98,1470.02,895
2019/12/01,3230.78,1476.04,971
2020/01/01,3225.52,1560.67,974
2020/02/01,2954.22,1597.1,880
2020/03/01,2584.59,1591.93,723
2020/04/01,2912.43,1682.93,778
2020/05/01,3044.31,1716.38,840
2020/06/01,3100.29,1732.22,810
2020/07/01,3271.12,1843.31,908
2020/08/01,3500.31,1968.57,930
2020/09/01,3363,1922.21,872
2020/10/01,3269.96,1900.28,856
2020/11/01,3621.63,1863.49,963
2020/12/01,3756.07,1855.96,1075
2021/01/01,3714.24,1866.99,1087
2021/02/01,3811.15,1808.18,1209
2021/03/01,3972.89,1718.23,1174
2021/04/01,4181.17,1761.68,1209
2021/05/01,4204.11,1853.22,1182
2021/06/01,4297.5,1834.57,1054
2021/07/01,4395.26,1807.09,1057
2021/08/01,4522.68,1783.97,1010
2021/09/01,4307.54,1777.25,958
2021/10/01,4605.38,1776.85,1016
2021/11/01,4567,1820.23,947
2021/12/01,4766.18,1786.65,962
2022/01/01,4515.55,1816.77,1790.6
2022/02/01,4373.79,1856.3,1903.3
2022/03/01,4530.41,1947.83,1924.1
2022/04/01,4131.93,1933.9,1915.45
2022/05/01,4132.15,1848.3,1854.4
2022/06/01,3785.38,1833.83,1813.6
2022/07/01,4130.29,1736.37,1758.9
2022/08/01,3955,1765.65,1712.4
2022/09/01,3585.62,1682.97,1672.75
2022/10/01,3871.98,1664.45,1638.85
2022/11/01,4080.11,1726.45,1759.65
2022/12/01,3839.5,1796.74,1802.65
2023/01/01,4076.6,1898.63,998
2023/02/01,3970.15,1854.54,939
2023/03/01,4109.31,1912.73,986
2023/04/01,4169.48,2000.42,1067
2023/05/01,4179.83,1990.22,1017
2023/06/01,4450.38,1942.9,895
2023/07/01,4588.96,1948.85,930
2023/08/01,4507.66,1920.02,978
2023/09/01,4288.05,1916.96,918
2023/10/01,4193.8,1913.04,937
2023/11/01,4567.78,1985.27,931
2023/12/01,4769.83,2029.29,1006
